Title,Year,Rating
Knock at the Cabin,2023,6.1
Old,2021,5.8
Glass,2019,6.6
Split,2016,7.3
The Visit,2015,6.3
After Earth,2013,4.8
The Last Airbender,2010,4.0
The Happening,2008,5.0
Lady in the Water,2006,5.5
The Village,2004,6.6
Signs,2002,6.8
Unbreakable,2000,7.3
The Sixth Sense,1999,8.2
Wide Awake,1998,5.8
Praying with Anger,1992,4.5
