Title,Year,Rating
Detroit,2017,7.3
Zero Dark Thirty,2012,7.4
The Hurt Locker,2008,7.5
K-19: The Widowmaker,2002,6.7
The Weight of Water,2000,5.8
Strange Days,1995,7.2
Point Break,1991,7.3
Blue Steel,1990,5.8
Near Dark,1987,6.9
