Title,Year,Rating
Ram Teri Ganga Maili,1985,6.5
Prem Rog,1982,7.1
Satyam Shivam Sundaram: Love Sublime,1978,7.0
Bobby,1973,6.9
Mera Naam Joker,1970,7.9
Sangam,1964,7.3
Shree 420,1955,7.9
Awaara,1951,7.8
Barsaat,1949,7.2
Aag,1948,7.0
